id,word_count,first_person_pronoun_count,third_person_pronoun_count,verb_count,adjective_count,superlative_count,readability_ari,extremity
1812,15,1,1,4,0,0,5.538,1
1813,40,1,2,8,4,0,3.0169166666666705,1
1814,22,1,3,5,1,0,2.4818181818181806,0
1815,112,2,5,20,9,0,7.668511904761907,1
1816,40,3,3,11,3,0,3.8230000000000004,1
1817,15,0,0,2,3,0,5.852,0
1818,50,1,2,10,5,0,3.5657999999999994,1
1819,61,7,2,14,6,0,4.803360655737702,1
1820,45,4,1,8,5,0,4.072666666666667,0
1821,17,1,0,3,1,0,8.586470588235294,0
1822,143,6,5,32,9,0,0.573856143856144,0
1823,184,8,7,42,18,0,4.519342885375494,0
1824,42,2,2,5,9,0,5.015000000000001,0
1825,40,3,2,10,4,0,6.295749999999998,1
1826,44,3,4,13,4,0,3.7799242424242436,1
1827,42,2,1,6,6,0,7.437857142857144,1
1828,78,6,2,15,1,0,6.5561538461538476,0
1829,57,3,3,12,7,0,10.297894736842107,0
1830,12,1,1,3,1,0,4.587500000000002,1
1831,123,7,0,16,11,0,5.660162601626016,1
1832,53,6,3,15,4,0,2.4433962264150964,1
1833,114,10,4,31,5,1,7.736315789473686,0
1834,55,3,2,9,5,0,4.53709090909091,1
1835,22,0,2,5,1,0,3.5522727272727295,1
1836,34,3,3,6,4,0,7.018235294117648,1
1837,10,0,1,4,0,0,0.5259999999999998,0
1838,37,2,1,10,1,0,1.9218018018018022,0
1839,226,4,12,53,14,0,3.2084414945919377,0
1840,295,10,7,48,34,0,7.986436689930208,0
1841,87,3,2,16,6,0,8.39551724137931,0
1842,21,1,3,2,3,0,4.454285714285714,1
1843,131,9,6,27,14,0,7.862614503816793,1
1844,112,4,7,28,5,0,-0.026011904761904958,0
1845,48,3,2,13,3,0,6.353749999999998,1
1846,182,5,7,33,21,0,7.3648701298701305,0
1847,58,4,5,16,3,0,2.3049999999999997,1
1848,75,4,2,18,6,0,1.4695,1
1849,22,0,1,4,2,0,4.836818181818181,0
1850,30,2,1,6,5,0,4.2940000000000005,1
1851,24,2,0,4,2,0,2.7837500000000013,1
1852,33,0,3,4,3,0,1.6254545454545486,1
1853,78,1,4,17,11,0,9.93769230769231,0
1854,43,0,2,9,4,0,3.8803488372093042,1
1855,28,2,2,5,1,0,1.5720238095238095,1
1856,36,2,2,6,3,0,4.195,1
1857,109,3,2,19,8,0,6.685527522935782,1
1858,21,1,1,4,3,0,4.005714285714284,1
1859,125,6,5,27,17,0,8.26025142857143,0
1860,16,0,1,5,2,0,5.115625000000001,1
1861,122,4,5,29,11,0,5.363114754098362,1
1862,15,1,0,1,5,0,6.817999999999998,0
1863,23,1,0,1,3,0,6.02695652173913,1
1864,117,7,2,19,11,0,7.135860805860808,0
1865,19,2,0,3,2,0,10.876315789473686,1
1866,129,5,5,25,12,0,10.241162790697675,0
1867,67,8,2,16,0,0,4.308731343283579,1
1868,37,1,1,7,5,0,7.041891891891893,1
1869,20,2,1,2,1,0,5.000500000000002,1
1870,73,3,4,11,8,0,10.802557077625572,0
1871,30,1,1,6,2,0,6.950999999999997,1
1872,14,0,0,2,1,0,6.428571428571427,1
1873,58,3,2,12,7,0,5.410402298850574,1
1874,106,3,3,22,8,0,8.625013477088949,1
1875,20,0,1,5,2,0,2.1563333333333325,1
1876,72,3,2,14,9,0,4.021249999999998,0
1877,117,1,5,19,15,0,7.6189377289377305,0
1878,33,1,0,6,6,1,5.193636363636365,0
1879,114,5,4,19,11,0,4.741578947368421,1
1880,16,0,0,2,2,0,8.942499999999999,1
1881,21,0,0,3,3,0,4.454285714285714,0
1882,44,3,2,10,4,1,5.813787878787878,0
1883,127,5,3,21,12,0,10.190089988751403,0
1884,24,0,0,3,4,0,4.783750000000001,1
1885,122,4,1,19,14,0,9.165901639344263,0
1886,21,1,1,2,2,0,6.7885714285714265,1
1887,98,4,1,20,10,0,7.485918367346937,1
1888,117,0,7,18,19,0,6.918461538461539,0
1889,22,0,1,2,1,0,6.483181818181816,1
1890,336,12,18,73,39,3,6.589136904761908,1
1891,77,4,2,16,12,0,7.7690259740259755,1
1892,33,1,1,3,2,0,9.656363636363636,1
1893,10,1,0,2,1,0,3.3520000000000003,1
1894,81,3,4,12,6,0,6.498518518518516,0
1895,121,8,2,18,17,0,10.444214876033058,1
1896,99,3,5,29,7,1,4.719307359307358,0
1897,63,1,0,11,8,0,7.298571428571428,1
1898,225,9,5,38,27,1,8.725866666666665,1
1899,24,1,1,5,2,0,3.6062499999999993,1
1900,101,5,4,19,9,0,7.2256765676567625,0
1901,13,0,1,2,1,0,3.91,0
1902,31,1,1,4,5,0,2.4247311827957034,1
1903,46,0,2,7,8,0,21.945869565217386,0
1904,123,9,4,25,13,0,9.19170731707317,1
1905,16,0,1,5,3,0,1.4100000000000001,0
1906,17,0,0,3,2,0,5.815882352941177,1
1907,46,4,2,6,2,0,4.467391304347828,1
1908,70,7,6,15,6,0,4.747000000000003,1
1909,11,2,0,2,3,0,-1.9809090909090905,1
1910,11,0,0,2,2,0,7.191818181818181,1
1911,17,0,2,4,3,0,3.5994117647058843,0
1912,114,6,3,23,10,0,7.240526315789474,0
1913,25,2,1,6,3,0,7.239599999999999,1
1914,26,1,0,6,3,0,3.0114102564102545,1
1915,28,1,1,5,3,0,0.730952380952381,0
1916,26,1,1,5,3,0,4.822948717948716,1
1917,162,8,2,29,8,0,5.529562289562289,1
1918,9,1,0,3,0,0,5.939999999999998,0
1919,139,8,7,33,12,0,9.027218225419666,0
1920,137,6,8,31,9,0,3.568513603185135,1
1921,101,5,1,21,5,0,9.801831683168317,0
1922,33,3,1,9,1,0,4.48,1
1923,12,0,0,3,3,0,10.8675,1
1924,79,4,4,17,8,1,3.647116736990153,1
1925,25,0,2,6,2,0,-1.1605999999999987,1
1926,178,10,3,29,13,0,4.5874237560192626,1
1927,15,0,1,2,1,0,4.282,1
1928,26,1,1,5,3,0,7.721410256410255,1
1929,55,1,3,11,6,0,5.735999999999997,1
1930,20,0,0,5,1,0,4.058499999999999,1
1931,121,9,5,24,13,0,6.403187721369541,0
1932,47,3,2,13,2,0,18.905744680851065,0
1933,39,2,1,10,2,1,4.513846153846153,0
1934,98,4,4,20,9,0,8.171972789115642,1
1935,51,0,0,11,4,0,6.740294117647057,0
1936,126,5,3,25,13,0,7.648333333333333,0
1937,64,1,4,14,4,0,3.4965624999999996,1
1938,125,4,2,20,14,0,9.710666666666668,0
1939,345,15,9,60,33,0,5.392198757763971,0
1940,50,1,1,7,6,0,4.388200000000001,1
1941,38,4,0,8,5,0,2.2015789473684215,0
1942,152,13,3,32,13,3,7.860789473684207,1
1943,100,8,5,19,11,0,4.141933333333334,1
1944,72,6,1,14,9,0,7.718333333333334,1
1945,20,2,1,5,3,0,7.881,1
1946,34,1,0,7,2,0,4.046372549019608,1
1947,81,8,4,19,7,0,5.800740740740743,0
1948,53,4,3,9,7,0,4.931698113207549,1
1949,20,2,0,4,1,0,8.352,1
1950,110,4,4,20,18,0,10.00212121212121,1
1951,21,2,1,6,2,0,6.068571428571428,1
1952,20,0,0,5,2,0,4.040333333333333,0
1953,97,9,6,23,9,0,5.119175257731957,0
1954,18,1,1,3,3,0,2.171666666666667,1
1955,58,2,2,12,7,0,6.040517241379309,1
1956,319,16,5,66,9,0,3.237415837535778,1
1957,85,2,3,13,6,0,3.772980392156864,0
1958,62,3,6,15,5,0,5.843709677419355,0
1959,128,7,6,29,8,0,9.290963541666663,0
1960,107,4,2,24,7,0,10.134859813084113,1
1961,35,0,1,7,2,0,-1.9740000000000002,1
1962,111,4,3,16,13,0,9.545405405405404,1
1963,144,9,1,18,11,0,2.8866666666666667,1
1964,21,0,1,4,1,0,9.03142857142857,1
